LocationCode,RegionCode,BldgAddress1,BldgAddress2,BldgCity,BldgCounty,BldgState,BldgZip,CongressionalDistrict,BldgStatus,PropertyType,BldgANSIUsable,TotalParkingSpaces,OwnedLeased,ConstructionDate,HistoricalType,HistoricalStatus,ABAAccessibilityFlag
DC1464,11,2701 MARTIN LUTHER KING JR. AVE. SE, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,BUILDING,0,0,OWNED,1-Jan-24,Field Not In Use,National Historic Landmark,Will Conform
DC1465,11,2701 MARTIN LUTHER KING JR. AVE. SE, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,BUILDING,0,0,OWNED,1-Jan-02,Field Not In Use,National Historic Landmark,Will Conform
DC1467,11,2701 MARTIN LUTHER KING JR. AVE. SE, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,BUILDING,0,0,OWNED,1-Jan-24,Field Not In Use,National Historic Landmark,Will Conform
DC1469,11,2701 MARTIN LUTHER KING JR AVE SE, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,BUILDING,0,0,OWNED,1-Jan-26,Field Not In Use,National Historic Landmark,Will Conform
DC1472,11,"2701 MARTIN LUTHER KING,JR.AVE,SE","2701 MARTIN LUTHER KING,JR.AVE,SE",WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,LAND,0,0,OWNED,01-Jan-1852,Field Not In Use,National Historic Landmark,Will Conform
DC1473,11,"2701 MARTIN LUTHER KING,JR.AVE,SE", ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200322608,98,ACTIVE,BUILDING,895607,0,OWNED,1-Oct-13,Field Not In Use,Non-Contributing Element,Will Conform
DC1525,11,6TH STREET NW, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200012734,98,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
DC2001,11,1302 LUKE AVE SW, ,WASHINGTON,DISTRICT OF COLUMBIA,DC,200326402,98,ACTIVE,BUILDING,0,0,OWNED,1-Jan-65,Field Not In Use,Not Evaluated,Will Conform
MD0001,11,QUINCE ORCHARD RD, ,GAITHERSBURG,MONTGOMERY,MD,208781498,6,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0007,11,QUINCE ORCHARD RD, ,GAITHERSBURG,MONTGOMERY,MD,208781498,6,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0008,11,QUINCE ORCHARD RD, ,GAITHERSBURG,MONTGOMERY,MD,208781498,6,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0010,11,SILVER HILL RD, ,SUITLAND,PRINCE GEORGE'S,MD,207462401,4,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0044,11,4301 SUITLAND RD, ,SUITLAND,PRINCE GEORGE'S,MD,207464704,4,ACTIVE,STRUCTURE,0,622,OWNED,1-Jan-58,Field Not In Use,Evaluated - Not Historic,Will Conform
MD0053,11,9000 ROCKVILLE PIKE, ,BETHESDA,MONTGOMERY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0056,11,4205 SUITLAND RD, ,SUITLAND,PRINCE GEORGE'S,MD,207464700,4,ACTIVE,BUILDING,803635,178,OWNED,1-Jan-67,Field Not In Use,Not Evaluated,Will Conform
MD0070,11,4510 SILVER HILL RD, ,SUITLAND,PRINCE GEORGE'S,MD,207462573,4,ACTIVE,BUILDING,4094,0,OWNED,1-Jan-37,Field Not In Use,National Register Eligible,Will Conform
MD0075,11,1701 BRIGHT SEAT RD, ,LANDOVER,PRINCE GEORGE'S,MD,207853767,4,ACTIVE,BUILDING,216500,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0091,11,BLDG 105 ANDREWS AFB, ,CAMP SPRINGS,PRINCE GEORGE'S,MD,203310000,4,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0101,11,4900 LASALLE RD, ,AVONDALE,PRINCE GEORGE'S,MD,207823302,4,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0106,11,4105 SUITLAND RD, ,SUITLAND,PRINCE GEORGE'S,MD,207464700,4,ACTIVE,STRUCTURE,0,0,OWNED,1-Jan-67,Field Not In Use,Not Evaluated,Will Conform
MD0143,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0153,11,SILVERHILL, ,SUITLAND,PRINCE GEORGE'S,MD,207462401,4,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0162,11,2803 52ND AVE, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207811102,4,ACTIVE,BUILDING,12757,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0166,11,4801 BEECH PLACE, ,TEMPLE HILLS,PRINCE GEORGE'S,MD,207482030,4,ACTIVE,BUILDING,19177,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0175,11,8375 ARDWICK ARDMORE RD, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207851622,4,ACTIVE,BUILDING,30975,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0176,11,GA. AVE AT COLESVILLE R, ,SILVER SPRING,MONTGOMERY,MD,209100000,8,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0182,11,SUITLAND COMPLEX,4301 SUITLAND ROAD,SUITLAND,PRINCE GEORGE'S,MD,207462042,4,ACTIVE,STRUCTURE,0,0,OWNED,1-Jan-67,Field Not In Use,Not Evaluated,Will Conform
MD0190,11,9140 E HAMPTON DR, ,CAPITOL HEIGHTS,PRINCE GEORGE'S,MD,207433809,4,ACTIVE,BUILDING,45601,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0195,11,8401 CORPORATE DR, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207852224,4,ACTIVE,BUILDING,13608,12,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0199,11,11555 ROCKVILLE PIKE, ,BETHESDA,MONTGOMERY,MD,208522738,8,ACTIVE,BUILDING,275369,343,OWNED,1-Jan-86,Field Not In Use,Not Evaluated,Will Conform
MD0200,11,8101 ODELL RD, ,BELTSVILLE,PRINCE GEORGE'S,MD,207054110,5,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0205,11,1335 E WEST HWY, ,SILVER SPRING,MONTGOMERY,MD,209103225,8,ACTIVE,BUILDING,126305,58,OWNED,1-Jan-87,Field Not In Use,Not Evaluated,Will Conform
MD0216,11,1151 SEVEN LOCKS RD, ,ROCKVILLE,MONTGOMERY,MD,208542968,8,ACTIVE,BUILDING,93761,0,LEASED,1-Jun-04,Field Not In Use,Not Evaluated,Will Conform
MD0219,11,3101 PENNSY DR, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207851508,4,ACTIVE,BUILDING,103935,158,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0221,11,1325 E WEST HWY, ,SILVER SPRING,MONTGOMERY,MD,209103280,8,ACTIVE,BUILDING,277622,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0231,11,8403 COLESVILLE ROAD, ,SILVER SPRING,MONTGOMERY,MD,209106331,8,ACTIVE,BUILDING,22683,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0232,11,6500 CHERRYWOOD LANE, ,GREENBELT,PRINCE GEORGE'S,MD,207701249,5,ACTIVE,BUILDING,156025,525,OWNED,1-Oct-94,Field Not In Use,Not Evaluated,Will Conform
MD0236,11,1305 E WEST HWY, ,SILVER SPRING,MONTGOMERY,MD,209103278,8,ACTIVE,BUILDING,266207,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0238,11,3300 HUBBARD RD, ,LANDOVER,PRINCE GEORGE'S,MD,207852010,4,ACTIVE,BUILDING,51630,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0239,11,7500 STANDISH PLACE, ,ROCKVILLE,MONTGOMERY,MD,208552764,6,ACTIVE,BUILDING,102263,360,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0240,11,9300 E HAMPTON DR, ,CAPITOL HEIGHTS,PRINCE GEORGE'S,MD,207433813,4,ACTIVE,BUILDING,33161,32,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0246,11,7001 LAFAYETTE AVE, ,RIVERDALE,PRINCE GEORGE'S,MD,207371167,5,ACTIVE,BUILDING,104882,17,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0247,11,7201 WISCONSIN AVE, ,BETHESDA,MONTGOMERY,MD,208144810,8,ACTIVE,BUILDING,43113,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0250,11,19901 GERMANTOWN RD, ,GERMANTOWN,MONTGOMERY,MD,208741207,6,ACTIVE,BUILDING,7654,44,OWNED,1-Oct-92,Field Not In Use,Not Evaluated,Will Conform
MD0254,11,11545 ROCKVILLE PIKE, ,BETHESDA,MONTGOMERY,MD,208522747,8,ACTIVE,BUILDING,295734,504,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0258,11,9240 HAMPTON OVERLOOK, ,CAPITOL HEIGHTS,PRINCE GEORGE'S,MD,207433850,4,ACTIVE,BUILDING,31227,15,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0259,11,7945 FERNHAM LN, ,DISTRICT HEIGHTS,PRINCE GEORGE'S,MD,207474518,4,ACTIVE,BUILDING,12848,7,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0260,11,2400 SCHUSTER DR, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207811121,4,ACTIVE,BUILDING,81248,50,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0262,11,20300 CENTURY BLVD, ,GERMANTOWN,MONTGOMERY,MD,208741132,6,ACTIVE,BUILDING,77738,311,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0273,11,4340 E WEST HWY, ,BETHESDA,MONTGOMERY,MD,208144411,8,ACTIVE,BUILDING,116461,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0277,11,1221 CARAWAY COURT, ,UPPER MARLBORO,PRINCE GEORGE'S,MD,207745381,4,ACTIVE,BUILDING,14653,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0278,11,5000 ELLIN RD, ,LANHAM,PRINCE GEORGE'S,MD,207061348,4,ACTIVE,BUILDING,859163,2637,OWNED,1-Oct-97,Field Not In Use,Not Evaluated,Will Conform
MD0286,11,51 METROPOLITAN CT, ,GAITHERSBURG,MONTGOMERY,MD,208784013,6,ACTIVE,BUILDING,9902,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0289,11,1315 E WEST HWY, ,SILVER SPRING,MONTGOMERY,MD,209106233,8,ACTIVE,BUILDING,489288,13,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0290,11,16050 INDUSTRIAL DR, ,GAITHERSBURG,MONTGOMERY,MD,208771464,6,ACTIVE,BUILDING,150000,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0292,11,1451 ROCKVILLE PIKE, ,ROCKVILLE,MONTGOMERY,MD,208521436,8,ACTIVE,BUILDING,40015,15,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0294,11,301 N STONESTREET AVE, ,ROCKVILLE,MONTGOMERY,MD,208501656,8,ACTIVE,BUILDING,48316,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0296,11,6701 ROCKLEDGE DRIVE, ,BETHESDA,MONTGOMERY,MD,208171814,8,ACTIVE,BUILDING,227226,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0298,11,15800 CRABBS BRANCH WAY, ,DERWOOD,MONTGOMERY,MD,208552604,6,ACTIVE,BUILDING,16782,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0300,11,16071 INDUSTRIAL DR, ,GAITHERSBURG,MONTGOMERY,MD,208771462,6,ACTIVE,BUILDING,54267,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0301,11,8455 COLESVILLE RD, ,SILVER SPRING,MONTGOMERY,MD,209103315,8,ACTIVE,BUILDING,77107,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0303,11,6411 IVY LANE, ,GREENBELT,PRINCE GEORGE'S,MD,207701405,5,ACTIVE,BUILDING,8421,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0304,11,6006 EXECUTIVE BLVD, ,ROCKVILLE,MONTGOMERY,MD,208523811,8,ACTIVE,BUILDING,28704,40,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0308,11,11750 BELTSVILLE DR, ,BELTSVILLE,PRINCE GEORGE'S,MD,207053194,4,ACTIVE,BUILDING,14173,26,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0311,11,10530 RIVERVIEW ROAD, ,FORT WASHINGTON FOREST,PRINCE GEORGE'S,MD,207445821,5,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0314,11,3601 PENNSY DRIVE, ,LANDOVER,PRINCE GEORGE'S,MD,207851612,4,ACTIVE,BUILDING,71437,51,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0316,11,6305 IVY LN, ,GREENBELT,PRINCE GEORGE'S,MD,207701465,5,ACTIVE,BUILDING,6291,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0317,11,8335 ARDWICK ARDMORE RD, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207851622,4,ACTIVE,BUILDING,30000,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0325,11,17101 MELFORD BLVD, ,BOWIE,PRINCE GEORGE'S,MD,207154303,5,ACTIVE,BUILDING,72500,140,OWNED,1-Oct-97,Field Not In Use,Not Evaluated,Will Conform
MD0331,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209030001,8,ACTIVE,BUILDING,230120,0,OWNED,1-Oct-10,Field Not In Use,Not Evaluated,Will Conform
MD0334,11,5001 Campus Dr., ,COLLEGE PARK,PRINCE GEORGE'S,MD,207403835,5,ACTIVE,BUILDING,243948,575,OWNED,1-Oct-01,Field Not In Use,Not Evaluated,Will Conform
MD0335,11,8401 MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082482,5,ACTIVE,BUILDING,42579,72,OWNED,1-Oct-97,Field Not In Use,Not Evaluated,Will Conform
MD0336,11,8501A MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,2178,0,OWNED,1-Oct-98,Field Not In Use,Not Evaluated,Will Conform
MD0337,11,8501C MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,7807,0,OWNED,1-Oct-96,Field Not In Use,Not Evaluated,Will Conform
MD0338,11,8501D MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,4357,0,OWNED,1-Oct-96,Field Not In Use,Not Evaluated,Will Conform
MD0339,11,8501E MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,4416,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0340,11,8501F MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,2497,4,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0341,11,8501G MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,3669,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0342,11,8501H MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,4463,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0343,11,8501J MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,3989,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0344,11,8501K MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,3679,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0345,11,8501L MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,5280,5,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0346,11,8501M MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,7729,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0347,11,8501N MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,10304,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0348,11,8501O MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,4604,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0349,11,8501P MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,9135,7,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0350,11,8501Q MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,2793,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0351,11,8501R MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,861,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0352,11,8501T MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,3384,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0353,11,8501S MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,0,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0354,11,8501U MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,STRUCTURE,0,0,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0355,11,8501V MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,LAND,0,359,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0356,11,8501W MUIRKIRK RD, ,LAUREL,PRINCE GEORGE'S,MD,207082478,5,ACTIVE,BUILDING,3783,895,OWNED,1-Jan-96,Field Not In Use,Not Evaluated,Will Conform
MD0531,11,19901 GERMANTOWN ROAD, ,GERMANTOWN,MONTGOMERY,MD,208741290,6,ACTIVE,BUILDING,415861,1560,OWNED,1-Oct-57,Field Not In Use,National Register Listed,Will Conform
MD0533,11,ROUTE 118, ,GERMANTOWN,MONTGOMERY,MD,208741299,6,ACTIVE,BUILDING,10271,0,OWNED,1-Jan-57,Field Not In Use,National Register Listed,Will Conform
MD0534,11,ROUTE 118, ,GERMANTOWN,MONTGOMERY,MD,208741299,6,ACTIVE,BUILDING,1037,0,OWNED,1-Jan-57,Field Not In Use,National Register Listed,Will Conform
MD0538,11,RTE 118, ,GERMANTOWN,MONTGOMERY,MD,208741299,6,ACTIVE,BUILDING,5836,0,OWNED,1-Jan-57,Field Not In Use,National Register Listed,Will Conform
MD0539,11,RTE 118, ,GERMANTOWN,MONTGOMERY,MD,208741299,6,ACTIVE,BUILDING,9004,0,OWNED,1-Oct-73,Field Not In Use,Non-Contributing Element,Will Conform
MD0540,11,RTE 118, ,GERMANTOWN,MONTGOMERY,MD,208741299,6,ACTIVE,BUILDING,3632,0,OWNED,1-Jan-57,Field Not In Use,National Register Listed,Will Conform
MD0709,11,"10905 NEW HAMPSHIRE AVE,BLDG 405", ,SILVER SPRING,MONTGOMERY,MD,209930000,8,ACTIVE,BUILDING,0,0,OWNED,1-Aug-10,Field Not In Use,Not Evaluated,Will Conform
MD0718,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209930000,8,ACTIVE,BUILDING,0,0,OWNED,1-May-74,Field Not In Use,Not Evaluated,Will Conform
MD0719,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209030001,8,ACTIVE,BUILDING,17008,38,OWNED,1-May-73,Field Not In Use,Not Evaluated,Will Conform
MD0721,11,5630 FISHERS LN, ,ROCKVILLE,MONTGOMERY,MD,208520003,8,ACTIVE,BUILDING,52822,10,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0722,11,4041 POWDER MILL RD, ,BELTSVILLE,PRINCE GEORGE'S,MD,207053106,5,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0724,11,9400 MACARTHUR BLVD, ,BETHESDA,MONTGOMERY,MD,208174016,8,ACTIVE,STRUCTURE,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0725,11,8901 WISCONSIN AVE, ,BETHESDA,MONTGOMERY,MD,208890001,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0726,11,3904 OLD SILVER HILL RD, ,SUITLAND,PRINCE GEORGE'S,MD,207463140,4,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0727,11,5601 SUNNYSIDE AVE, ,BELTSVILLE,PRINCE GEORGE'S,MD,207055000,5,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD0731,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209030002,8,ACTIVE,BUILDING,18781,33,OWNED,1-Aug-10,Field Not In Use,Not Evaluated,Will Conform
MD0736,11,"10903 NEW HAMPSHIRE AVE,BLDG 201", ,SILVER SPRING,MONTGOMERY,MD,209930000,8,ACTIVE,BUILDING,9661,0,OWNED,1-May-45,Field Not In Use,National Register Eligible,Will Conform
MD0737,11,"10905 NEW HAMPSHIRE AVE,BLDG 403", ,SILVER SPRING,MONTGOMERY,MD,209930000,4,ACTIVE,LAND,0,0,OWNED,1-Aug-10,Field Not In Use,Not Evaluated,Will Conform
MD0742,11,6700 Rockledge Dr, ,BETHESDA,MONTGOMERY,MD,208171821,8,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0752,11,209 PERRY PARKWAY,SUITE 5,GAITHERSBURG,MONTGOMERY,MD,208772143,6,ACTIVE,BUILDING,21268,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0755,11,1440 MCCORMICK DRIVE, ,UPPER MARLBORO,PRINCE GEORGE'S,MD,207745313,4,ACTIVE,BUILDING,39045,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0757,11,7519 STANDISH PL, ,DERWOOD,MONTGOMERY,MD,208552792,6,ACTIVE,BUILDING,69625,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0758,11,TO BE DETERMINED,AMMENDALE ROAD,BELTSVILLE,PRINCE GEORGE'S,MD,208790000,6,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Yes
MD0759,11,6351 AMMENDALE RD, ,BELTSVILLE,PRINCE GEORGE'S,MD,207051249,5,ACTIVE,BUILDING,116987,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0760,11,11800 TECH ROAD,"SILVER SPRING,MD  20904",SILVER SPRING,MONTGOMERY,MD,209041987,3,ACTIVE,BUILDING,59891,312,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0765,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209030001,8,ACTIVE,BUILDING,78113,0,OWNED,15-Oct-03,Field Not In Use,Not Evaluated,Will Conform
MD0766,11,3311 TOLEDO ROAD, ,HYATTSVILLE,PRINCE GEORGE'S,MD,207822064,4,ACTIVE,BUILDING,95900,16,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0767,11,4231 SUITLAND RD, ,SUITLAND,PRINCE GEORGE'S,MD,207462042,4,ACTIVE,BUILDING,160958,614,OWNED,1-Apr-06,Field Not In Use,Not Evaluated,Yes
MD0768,11,3201 PENNSY DRIVE, ,LANDOVER,PRINCE GEORGE'S,MD,207851603,4,ACTIVE,BUILDING,265000,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD0774,11,1101 WOOTTON PKY, ,ROCKVILLE,MONTGOMERY,MD,208521058,8,ACTIVE,BUILDING,101057,0,LEASED,0,Field Not In Use,Not Evaluated,No
MD0778,11,4600 SILVER HILL RD, ,SUITLAND,PRINCE GEORGE'S,MD,207462402,4,ACTIVE,BUILDING,643332,1617,OWNED,7-Aug-06,Field Not In Use,Not Evaluated,Will Conform
MD0779,11,5901 AMMENDALE ROAD,"SUITES A,B,AND C",BELTSVILLE,PRINCE GEORGE'S,MD,207051202,5,ACTIVE,BUILDING,75276,60,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0781,11,4303 SUITLAND ROAD, ,SUITLAND,PRINCE GEORGE'S,MD,207464704,4,ACTIVE,BUILDING,5684,11,OWNED,1-Sep-03,Field Not In Use,Not Evaluated,Yes
MD0784,11,5830 UNIVERSITY RESEARCH COURT, ,RIVERDALE,PRINCE GEORGE'S,MD,207370000,5,ACTIVE,BUILDING,226000,700,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0786,11,11919 ROCKVILLE PIKE, ,ROCKVILLE,MONTGOMERY,MD,208522712,8,ACTIVE,BUILDING,53957,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0792,11,4300 River Road, ,COLLEGE PARK,PRINCE GEORGE'S,MD,207403835,5,ACTIVE,BUILDING,70785,170,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0793,11,10210 GREENBELT ROAD, ,LANHAM,PRINCE GEORGE'S,MD,207062218,5,ACTIVE,BUILDING,5000,15,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0795,11,5901 AMMENDALE ROAD,BUILDING 3,BELTSVILLE,PRINCE GEORGE'S,MD,207051266,5,ACTIVE,BUILDING,9992,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0796,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY,MD,209030001,8,ACTIVE,BUILDING,1454,0,OWNED,1-May-91,Field Not In Use,Not Evaluated,Will Conform
MD0797,11,6340 COLUMBIA PARK ROAD, ,LANDOVER,PRINCE GEORGE'S,MD,207853215,4,ACTIVE,BUILDING,60138,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD0798,11,5450 MARINELLI ROAD,BEHIND WHITE FLINT NORTH ONE,ROCKVILLE,MONTGOMERY,MD,208522536,8,ACTIVE,LAND,0,0,OWNED,1-Jan-70,Field Not In Use,Not Evaluated,Will Conform
MD0799,11,7900 CEDARVILLE RD, ,BRANDYWINE,PRINCE GEORGE'S,MD,206133018,5,ACTIVE,BUILDING,72627,20,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
